customer_id,invoice_date,invoice_id,amount,product,category
CUST006,2025-10-05,INV055,215.00,Pastries,Bakery
CUST006,2025-11-20,INV056,180.00,Bread (bulk),Bakery
CUST006,2025-12-25,INV057,350.00,Christmas Special,Bakery
CUST007,2025-03-01,INV058,45.00,Airtime,Telecom
CUST007,2025-05-15,INV059,30.00,Airtime,Telecom
CUST008,2025-01-01,INV060,5000.00,Bulk Order,Wholesale
CUST008,2025-02-01,INV061,4500.00,Bulk Order,Wholesale
CUST008,2025-03-01,INV062,5200.00,Bulk Order,Wholesale
CUST008,2025-04-01,INV063,4800.00,Bulk Order,Wholesale
CUST008,2025-05-01,INV064,5500.00,Bulk Order,Wholesale
CUST008,2025-06-01,INV065,4700.00,Bulk Order,Wholesale
CUST008,2025-07-01,INV066,5100.00,Bulk Order,Wholesale
CUST008,2025-08-01,INV067,4900.00,Bulk Order,Wholesale
CUST008,2025-09-01,INV068,5300.00,Bulk Order,Wholesale
CUST008,2025-10-01,INV069,4600.00,Bulk Order,Wholesale
CUST008,2025-11-01,INV070,5400.00,Bulk Order,Wholesale
CUST008,2025-12-01,INV071,6000.00,Holiday Bulk,Wholesale
CUST009,2025-07-01,INV072,150.00,School Supplies,Stationery
CUST009,2025-08-15,INV073,200.00,Uniforms,Clothing
CUST010,2025-01-10,INV074,350.00,Tools,Hardware
CUST010,2025-02-20,INV075,280.00,Nails/Screws,Hardware
CUST010,2025-03-15,INV076,420.00,Power Tools,Hardware
CUST010,2025-04-25,INV077,190.00,Paint Brushes,Hardware
CUST010,2025-06-10,INV078,550.00,Drill Set,Hardware
CUST010,2025-08-20,INV079,310.00,Saw,Hardware
CUST010,2025-10-15,INV080,480.00,Hammer Set,Hardware
CUST010,2025-12-05,INV081,620.00,Tool Kit,Hardware
CUST011,2025-02-14,INV082,800.00,Valentine Gift,Gifts
CUST012,2025-01-05,INV083,120.00,Groceries,Groceries
CUST012,2025-01-12,INV084,95.00,Groceries,Groceries
CUST012,2025-01-19,INV085,140.00,Groceries,Groceries
CUST012,2025-01-26,INV086,110.00,Groceries,Groceries
CUST012,2025-02-02,INV087,130.00,Groceries,Groceries
CUST012,2025-02-09,INV088,105.00,Groceries,Groceries
CUST012,2025-02-16,INV089,145.00,Groceries,Groceries
CUST012,2025-02-23,INV090,125.00,Groceries,Groceries
CUST012,2025-03-02,INV091,115.00,Groceries,Groceries
CUST012,2025-03-09,INV092,135.00,Groceries,Groceries
CUST012,2025-03-16,INV093,100.00,Groceries,Groceries
CUST012,2025-03-23,INV094,150.00,Groceries,Groceries
CUST012,2025-03-30,INV095,120.00,Groceries,Groceries
CUST012,2025-04-06,INV096,140.00,Groceries,Groceries
CUST012,2025-04-13,INV097,110.00,Groceries,Groceries
CUST012,2025-04-20,INV098,130.00,Groceries,Groceries
CUST012,2025-04-27,INV099,105.00,Groceries,Groceries
CUST012,2025-05-04,INV100,145.00,Groceries,Groceries
CUST012,2025-05-11,INV101,125.00,Groceries,Groceries
CUST012,2025-05-18,INV102,115.00,Groceries,Groceries
CUST012,2025-05-25,INV103,135.00,Groceries,Groceries
CUST012,2025-06-01,INV104,100.00,Groceries,Groceries
CUST012,2025-06-08,INV105,150.00,Groceries,Groceries
CUST012,2025-06-15,INV106,120.00,Groceries,Groceries
CUST012,2025-06-22,INV107,140.00,Groceries,Groceries
CUST012,2025-06-29,INV108,110.00,Groceries,Groceries
CUST012,2025-07-06,INV109,130.00,Groceries,Groceries
CUST012,2025-07-13,INV110,105.00,Groceries,Groceries
CUST012,2025-07-20,INV111,145.00,Groceries,Groceries
CUST012,2025-07-27,INV112,125.00,Groceries,Groceries
CUST012,2025-08-03,INV113,115.00,Groceries,Groceries
CUST012,2025-08-10,INV114,135.00,Groceries,Groceries
CUST012,2025-08-17,INV115,100.00,Groceries,Groceries
CUST012,2025-08-24,INV116,150.00,Groceries,Groceries
CUST012,2025-08-31,INV117,120.00,Groceries,Groceries
CUST012,2025-09-07,INV118,140.00,Groceries,Groceries
CUST012,2025-09-14,INV119,110.00,Groceries,Groceries
CUST012,2025-09-21,INV120,130.00,Groceries,Groceries
CUST012,2025-09-28,INV121,105.00,Groceries,Groceries
CUST012,2025-10-05,INV122,145.00,Groceries,Groceries
CUST012,2025-10-12,INV123,125.00,Groceries,Groceries
CUST012,2025-10-19,INV124,115.00,Groceries,Groceries
CUST012,2025-10-26,INV125,135.00,Groceries,Groceries
CUST012,2025-11-02,INV126,100.00,Groceries,Groceries
CUST012,2025-11-09,INV127,150.00,Groceries,Groceries
CUST012,2025-11-16,INV128,120.00,Groceries,Groceries
CUST012,2025-11-23,INV129,140.00,Groceries,Groceries
CUST012,2025-11-30,INV130,110.00,Groceries,Groceries
CUST012,2025-12-07,INV131,130.00,Groceries,Groceries
CUST012,2025-12-14,INV132,155.00,Groceries,Groceries
CUST012,2025-12-21,INV133,175.00,Holiday Groceries,Groceries
CUST012,2025-12-28,INV134,160.00,Groceries,Groceries
CUST013,2025-04-01,INV135,60.00,Snacks,Groceries
CUST014,2025-01-20,INV136,1200.00,Computer Parts,Electronics
CUST014,2025-03-10,INV137,850.00,Printer,Electronics
CUST014,2025-05-25,INV138,2200.00,Laptop,Electronics
CUST014,2025-08-15,INV139,450.00,Mouse/Keyboard,Electronics
CUST014,2025-11-30,INV140,1800.00,Monitor,Electronics
CUST015,2025-02-01,INV141,75.00,Beauty Products,Cosmetics
CUST015,2025-03-15,INV142,90.00,Skincare,Cosmetics
CUST015,2025-05-01,INV143,120.00,Makeup,Cosmetics
CUST015,2025-07-20,INV144,65.00,Hair Products,Cosmetics
CUST015,2025-09-10,INV145,110.00,Perfume,Cosmetics
CUST015,2025-11-25,INV146,150.00,Gift Set,Cosmetics
CUST016,2025-06-15,INV147,25.00,Ice Cream,Food
CUST017,2025-01-15,INV148,2000.00,Catering,Services
CUST017,2025-04-20,INV149,3500.00,Event Catering,Services
CUST017,2025-07-10,INV150,2800.00,Party Catering,Services
CUST017,2025-10-25,INV151,4000.00,Corporate Event,Services
CUST018,2025-03-01,INV152,180.00,Books,Education
CUST018,2025-06-15,INV153,220.00,Textbooks,Education
CUST018,2025-09-01,INV154,350.00,School Supplies,Education
CUST019,2025-01-08,INV155,400.00,Car Parts,Automotive
CUST019,2025-02-20,INV156,250.00,Oil Change,Automotive
CUST019,2025-04-10,INV157,600.00,Tires,Automotive
CUST019,2025-06-25,INV158,180.00,Battery,Automotive
CUST019,2025-09-15,INV159,320.00,Brakes,Automotive
CUST019,2025-12-01,INV160,450.00,Service,Automotive
CUST020,2025-05-01,INV161,35.00,Newspaper Sub,Media
CUST020,2025-06-01,INV162,35.00,Newspaper Sub,Media
CUST020,2025-07-01,INV163,35.00,Newspaper Sub,Media
CUST020,2025-08-01,INV164,35.00,Newspaper Sub,Media
CUST020,2025-09-01,INV165,35.00,Newspaper Sub,Media
CUST020,2025-10-01,INV166,35.00,Newspaper Sub,Media
CUST020,2025-11-01,INV167,35.00,Newspaper Sub,Media
CUST020,2025-12-01,INV168,35.00,Newspaper Sub,Media
CUST021,2024-06-01,INV169,500.00,Old Order,Misc
CUST021,2024-08-15,INV170,350.00,Old Order,Misc
CUST022,2024-01-01,INV171,200.00,Very Old,Misc
CUST022,2024-03-15,INV172,150.00,Very Old,Misc
CUST023,2025-12-15,INV173,80.00,New Customer,Groceries
CUST024,2025-12-20,INV174,120.00,New Customer,Groceries
CUST025,2025-12-28,INV175,95.00,New Customer,Groceries
